~ ~ ~ ~ ~ Using Runge-Kutta 4th Order Method ~ ~ ~ ~ ~ 

  Time   :        θ1         /         θ2        /         ω1         /         ω1       

0.001000 : 0.500000000000000 / 0.000000000000000 / -0.007613852858460 / 0.006692927782015 
0.002000 : 0.499992382338946 / 0.000006696275362 / -0.015227742847512 / 0.013385891583553 
0.003000 : 0.499977146979688 / 0.000020088862123 / -0.022841665755693 / 0.020078930629399 
0.004000 : 0.499954293889292 / 0.000040177835565 / -0.030455617354103 / 0.026772084116227 
0.005000 : 0.499923823039052 / 0.000066963310186 / -0.038069593379397 / 0.033465391184303 
0.006000 : 0.499885734404529 / 0.000100445439645 / -0.045683589516756 / 0.040158890889162 
0.007000 : 0.499840027965602 / 0.000140624416674 / -0.053297601382842 / 0.046852622173271 
0.008000 : 0.499786703706533 / 0.000187500472969 / -0.060911624508731 / 0.053546623837646 
0.009000 : 0.499725761616058 / 0.000241073879046 / -0.068525654322806 / 0.060240934513436 
0.010000 : 0.499657201687484 / 0.000301344944069 / -0.076139686133620 / 0.066935592633448 
0.011000 : 0.499581023918814 / 0.000368314015657 / -0.083753715112709 / 0.073630636403618 
0.012000 : 0.499497228312881 / 0.000441981479654 / -0.091367736277360 / 0.080326103774407 
0.013000 : 0.499405814877504 / 0.000522347759871 / -0.098981744473314 / 0.087022032412126 
0.014000 : 0.499306783625658 / 0.000609413317807 / -0.106595734357416 / 0.093718459670168 
0.015000 : 0.499200134575663 / 0.000703178652331 / -0.114209700380184 / 0.100415422560159 
0.016000 : 0.499085867751392 / 0.000803644299342 / -0.121823636768318 / 0.107112957722985 
0.017000 : 0.498963983182497 / 0.000910810831401 / -0.129437537507108 / 0.113811101399731 
0.018000 : 0.498834480904643 / 0.001024678857324 / -0.137051396322773 / 0.120509889402480 
0.019000 : 0.498697360959774 / 0.001145249021762 / -0.144665206664688 / 0.127209357084998 
0.020000 : 0.498552623396389 / 0.001272522004732 / -0.152278961687527 / 0.133909539313272 
0.021000 : 0.498400268269835 / 0.001406498521139 / -0.159892654233287 / 0.140610470435908 
0.022000 : 0.498240295642619 / 0.001547179320251 / -0.167506276813205 / 0.147312184254372 
0.023000 : 0.498072705584742 / 0.001694565185155 / -0.175119821589552 / 0.154014713993069 
0.024000 : 0.497897498174048 / 0.001848656932181 / -0.182733280357306 / 0.160718092269250 
0.025000 : 0.497714673496588 / 0.002009455410290 / -0.190346644525689 / 0.167422351062741 
0.026000 : 0.497524231647007 / 0.002176961500438 / -0.197959905099567 / 0.174127521685482 
0.027000 : 0.497326172728954 / 0.002351176114913 / -0.205573052660712 / 0.180833634750865 
0.028000 : 0.497120496855496 / 0.002532100196628 / -0.213186077348900 / 0.187540720142878 
0.029000 : 0.496907204149568 / 0.002719734718396 / -0.220798968842868 / 0.194248806985019 
0.030000 : 0.496686294744432 / 0.002914080682167 / -0.228411716341096 / 0.200957923609003 
0.031000 : 0.496457768784155 / 0.003115139118239 / -0.236024308542427 / 0.207668097523226 
0.032000 : 0.496221626424111 / 0.003322911084431 / -0.243636733626510 / 0.214379355380998 
